"TIME","GEO","CURRENCY","BOP_ITEM","SECTOR10","SECTPART","STK_FLOW","PARTNER","Value","Flag and Footnotes"
"1999","Bulgaria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-586.9",""
"2000","Bulgaria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-762.5",""
"2001","Bulgaria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-858.4",""
"2002","Bulgaria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-424.0",""
"2003","Bulgaria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-995.4",""
"2004","Bulgaria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,330.5",""
"2005","Bulgaria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-2,726.7",""
"2006","Bulgaria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-4,671.4",""
"2007","Bulgaria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-7,745.1",""
"2008","Bulgaria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-8,178.0",""
"2009","Bulgaria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-3,104.8",""
"2010","Bulgaria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-658.4",""
"2011","Bulgaria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","136.2",""
"2012","Bulgaria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-357.8",""
"2013","Bulgaria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","535.6",""
"2014","Bulgaria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","530.6",""
"2015","Bulgaria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-0.2",""
"2016","Bulgaria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","1,492.6",""
"2017","Bulgaria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","1,736.0",""
"2018","Bulgaria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","531.6",""
"2019","Bulgaria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","1,147.8",""
"2020","Bulgaria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-161.2",""
"1989","Czechia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1990","Czechia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1991","Czechia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1992","Czechia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1993","Czechia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","375.5",""
"1994","Czechia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-652.5",""
"1995","Czechia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,046.4",""
"1996","Czechia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-3,255.0",""
"1997","Czechia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-3,175.9",""
"1998","Czechia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,139.3",""
"1999","Czechia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,378.1",""
"2000","Czechia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-2,960.8",""
"2001","Czechia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-3,654.7",""
"2002","Czechia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-4,442.3",""
"2003","Czechia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-5,027.6",""
"2004","Czechia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-3,612.1",""
"2005","Czechia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-2,314.0",""
"2006","Czechia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-3,081.6",""
"2007","Czechia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-6,402.4",""
"2008","Czechia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-3,051.6",""
"2009","Czechia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-3,432.4",""
"2010","Czechia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-5,707.9",""
"2011","Czechia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-3,466.4",""
"2012","Czechia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-2,518.2",""
"2013","Czechia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-829.4",""
"2014","Czechia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","295.9",""
"2015","Czechia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","715.5",""
"2016","Czechia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","3,149.6",""
"2017","Czechia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","2,891.5",""
"2018","Czechia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","962.0",""
"2019","Czechia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","747.3",""
"2020","Czechia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","7,772.3",""
"1989","Denmark","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1990","Denmark","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1991","Denmark","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1992","Denmark","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1993","Denmark","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1994","Denmark","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1995","Denmark","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1996","Denmark","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1997","Denmark","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1998","Denmark","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1999","Denmark","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2000","Denmark","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2001","Denmark","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2002","Denmark","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2003","Denmark","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2004","Denmark","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2005","Denmark","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","8,920.8",""
"2006","Denmark","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","7,498.6",""
"2007","Denmark","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","3,377.2",""
"2008","Denmark","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","7,046.6",""
"2009","Denmark","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","8,016.0",""
"2010","Denmark","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","15,956.5",""
"2011","Denmark","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","16,325.0",""
"2012","Denmark","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","15,989.3",""
"2013","Denmark","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","20,076.0",""
"2014","Denmark","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","23,731.5",""
"2015","Denmark","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","22,509.2",""
"2016","Denmark","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","22,014.0",""
"2017","Denmark","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","23,609.8",""
"2018","Denmark","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","22,009.4",""
"2019","Denmark","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","27,352.4",""
"2020","Denmark","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","25,436.2",""
"1989","Germany (until 1990 former territory of the FRG)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1990","Germany (until 1990 former territory of the FRG)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1991","Germany (until 1990 former territory of the FRG)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-22,550.0",""
"1992","Germany (until 1990 former territory of the FRG)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-20,142.0",""
"1993","Germany (until 1990 former territory of the FRG)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-18,150.0",""
"1994","Germany (until 1990 former territory of the FRG)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-27,440.0",""
"1995","Germany (until 1990 former territory of the FRG)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-23,600.0",""
"1996","Germany (until 1990 former territory of the FRG)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-12,991.0",""
"1997","Germany (until 1990 former territory of the FRG)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-9,997.0",""
"1998","Germany (until 1990 former territory of the FRG)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-14,314.0",""
"1999","Germany (until 1990 former territory of the FRG)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-29,293.0",""
"2000","Germany (until 1990 former territory of the FRG)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-37,147.0",""
"2001","Germany (until 1990 former territory of the FRG)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-7,996.0",""
"2002","Germany (until 1990 former territory of the FRG)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","41,557.0",""
"2003","Germany (until 1990 former territory of the FRG)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","31,268.0",""
"2004","Germany (until 1990 former territory of the FRG)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","102,271.0",""
"2005","Germany (until 1990 former territory of the FRG)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","106,942.0",""
"2006","Germany (until 1990 former territory of the FRG)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","137,674.0",""
"2007","Germany (until 1990 former territory of the FRG)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","171,492.0",""
"2008","Germany (until 1990 former territory of the FRG)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","144,955.0",""
"2009","Germany (until 1990 former territory of the FRG)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","142,744.0",""
"2010","Germany (until 1990 former territory of the FRG)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","147,299.0",""
"2011","Germany (until 1990 former territory of the FRG)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","167,340.0",""
"2012","Germany (until 1990 former territory of the FRG)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","195,713.0",""
"2013","Germany (until 1990 former territory of the FRG)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","184,351.0",""
"2014","Germany (until 1990 former territory of the FRG)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","210,907.0",""
"2015","Germany (until 1990 former territory of the FRG)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","260,286.0",""
"2016","Germany (until 1990 former territory of the FRG)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","266,690.0",""
"2017","Germany (until 1990 former territory of the FRG)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","254,935.9",""
"2018","Germany (until 1990 former territory of the FRG)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","264,155.7",""
"2019","Germany (until 1990 former territory of the FRG)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","258,627.1",""
"2020","Germany (until 1990 former territory of the FRG)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","233,918.2",""
"1989","Estonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1990","Estonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1991","Estonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1992","Estonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1993","Estonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","18.0",""
"1994","Estonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-138.0",""
"1995","Estonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-115.6",""
"1996","Estonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-307.7",""
"1997","Estonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-499.1",""
"1998","Estonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-432.3",""
"1999","Estonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-230.7",""
"2000","Estonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-333.9",""
"2001","Estonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-495.9",""
"2002","Estonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-865.8",""
"2003","Estonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,125.4",""
"2004","Estonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,165.8",""
"2005","Estonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-984.4",""
"2006","Estonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-2,025.7",""
"2007","Estonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-2,437.5",""
"2008","Estonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,438.3",""
"2009","Estonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","360.3",""
"2010","Estonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","262.8",""
"2011","Estonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","219.3",""
"2012","Estonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-339.7",""
"2013","Estonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","55.3",""
"2014","Estonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","143.6",""
"2015","Estonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","365.9",""
"2016","Estonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","267.7",""
"2017","Estonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","539.5",""
"2018","Estonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","206.0",""
"2019","Estonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","700.3",""
"2020","Estonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-68.8",""
"1989","Ireland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1990","Ireland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1991","Ireland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1992","Ireland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1993","Ireland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1994","Ireland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1995","Ireland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1996","Ireland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1997","Ireland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1998","Ireland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1999","Ireland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2000","Ireland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2001","Ireland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2002","Ireland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","336.0",""
"2003","Ireland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","717.0",""
"2004","Ireland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-153.1",""
"2005","Ireland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-6,028.7",""
"2006","Ireland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-9,899.2",""
"2007","Ireland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-12,830.2",""
"2008","Ireland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-11,714.5",""
"2009","Ireland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-7,912.1",""
"2010","Ireland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-2,006.8",""
"2011","Ireland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-2,810.4",""
"2012","Ireland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-5,934.0",""
"2013","Ireland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","2,787.0",""
"2014","Ireland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","2,093.0",""
"2015","Ireland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","11,556.0",""
"2016","Ireland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-11,373.0",""
"2017","Ireland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","1,457.0",""
"2018","Ireland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","17,088.0",""
"2019","Ireland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-70,772.0",""
"2020","Ireland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-9,890.0",""
"1989","Greece","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1990","Greece","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1991","Greece","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1992","Greece","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1993","Greece","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1994","Greece","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1995","Greece","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1996","Greece","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1997","Greece","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1998","Greece","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1999","Greece","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2000","Greece","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2001","Greece","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2002","Greece","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-11,167.0",""
"2003","Greece","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-15,118.0",""
"2004","Greece","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-14,936.0",""
"2005","Greece","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-17,672.0",""
"2006","Greece","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-25,025.0",""
"2007","Greece","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-35,341.0",""
"2008","Greece","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-36,570.0",""
"2009","Greece","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-29,323.0",""
"2010","Greece","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-22,648.0",""
"2011","Greece","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-17,831.0",""
"2012","Greece","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-6,666.0",""
"2013","Greece","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-2,588.0",""
"2014","Greece","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,319.0",""
"2015","Greece","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,438.0",""
"2016","Greece","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-3,049.0",""
"2017","Greece","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-3,407.0",""
"2018","Greece","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-5,231.0",""
"2019","Greece","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-2,725.0",""
"2020","Greece","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-10,964.0",""
"1989","Spain","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1990","Spain","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1991","Spain","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1992","Spain","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1993","Spain","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-8,246.0",""
"1994","Spain","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-9,300.0",""
"1995","Spain","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-5,747.0",""
"1996","Spain","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-4,185.0",""
"1997","Spain","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-3,765.0",""
"1998","Spain","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-9,348.0",""
"1999","Spain","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-19,295.0",""
"2000","Spain","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-27,921.0",""
"2001","Spain","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-30,672.0",""
"2002","Spain","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-27,959.0",""
"2003","Spain","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-31,153.0",""
"2004","Spain","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-47,116.0",""
"2005","Spain","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-67,278.0",""
"2006","Spain","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-88,851.0",""
"2007","Spain","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-101,446.0",""
"2008","Spain","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-98,785.0",""
"2009","Spain","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-43,715.0",""
"2010","Spain","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-39,213.0",""
"2011","Spain","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-28,971.0",""
"2012","Spain","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","885.0",""
"2013","Spain","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","20,803.0",""
"2014","Spain","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","17,536.0",""
"2015","Spain","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","21,830.0",""
"2016","Spain","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","35,371.0",""
"2017","Spain","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","32,208.0",""
"2018","Spain","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","22,611.0",""
"2019","Spain","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","26,188.0",""
"2020","Spain","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","9,250.0",""
"1989","France","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1990","France","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1991","France","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1992","France","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
