"TIME","GEO","UNIT","NA_ITEM","Value","Flag and Footnotes"
"2001","Italy","Current prices, million euro","Final consumption expenditure of households","786,077.1",""
"2001","Cyprus","Current prices, million euro","Final consumption expenditure of households","8,962.6",""
"2001","Latvia","Current prices, million euro","Final consumption expenditure of households","5,627.2",""
"2001","Lithuania","Current prices, million euro","Final consumption expenditure of households","9,029.5",""
"2001","Luxembourg","Current prices, million euro","Final consumption expenditure of households","10,557.5",""
"2001","Hungary","Current prices, million euro","Final consumption expenditure of households","34,402.0",""
"2001","Malta","Current prices, million euro","Final consumption expenditure of households","3,420.2",""
"2001","Netherlands","Current prices, million euro","Final consumption expenditure of households","233,206.0",""
"2001","Austria","Current prices, million euro","Final consumption expenditure of households","119,541.0",""
"2001","Poland","Current prices, million euro","Final consumption expenditure of households","137,056.7",""
"2001","Portugal","Current prices, million euro","Final consumption expenditure of households","86,739.0",""
"2001","Romania","Current prices, million euro","Final consumption expenditure of households","30,766.0",""
"2001","Slovenia","Current prices, million euro","Final consumption expenditure of households","13,306.4",""
"2001","Slovakia","Current prices, million euro","Final consumption expenditure of households","13,615.0",""
"2001","Finland","Current prices, million euro","Final consumption expenditure of households","66,268.0",""
"2001","Sweden","Current prices, million euro","Final consumption expenditure of households","122,568.2",""
"2001","Iceland","Current prices, million euro","Final consumption expenditure of households","4,746.0",""
"2001","Norway","Current prices, million euro","Final consumption expenditure of households","78,548.2",""
"2001","Switzerland","Current prices, million euro","Final consumption expenditure of households","177,193.3",""
"2001","United Kingdom","Current prices, million euro","Final consumption expenditure of households","1,167,951.5",""
"2001","Montenegro","Current prices, million euro","Final consumption expenditure of households",":",""
"2001","North Macedonia","Current prices, million euro","Final consumption expenditure of households","2,932.7",""
"2001","Serbia","Current prices, million euro","Final consumption expenditure of households","10,938.7",""
"2001","Turkey","Current prices, million euro","Final consumption expenditure of households",":",""
"2001","Bosnia and Herzegovina","Current prices, million euro","Final consumption expenditure of households","6,782.0",""
"2001","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, million euro","Final consumption expenditure of households",":",""
"2002","Belgium","Current prices, million euro","Final consumption expenditure of households","136,197.5",""
"2002","Bulgaria","Current prices, million euro","Final consumption expenditure of households","12,292.3",""
"2002","Czechia","Current prices, million euro","Final consumption expenditure of households","44,526.6",""
"2002","Denmark","Current prices, million euro","Final consumption expenditure of households","86,841.5",""
"2002","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Final consumption expenditure of households","1,167,675.0",""
"2002","Estonia","Current prices, million euro","Final consumption expenditure of households","4,588.3",""
"2002","Ireland","Current prices, million euro","Final consumption expenditure of households","59,084.0",""
"2002","Greece","Current prices, million euro","Final consumption expenditure of households","112,842.3",""
"2002","Spain","Current prices, million euro","Final consumption expenditure of households","455,535.0",""
"2002","France","Current prices, million euro","Final consumption expenditure of households","841,074.0",""
"2002","Croatia","Current prices, million euro","Final consumption expenditure of households","21,380.2",""
"2002","Italy","Current prices, million euro","Final consumption expenditure of households","806,593.4",""
"2002","Cyprus","Current prices, million euro","Final consumption expenditure of households","9,044.2",""
"2002","Latvia","Current prices, million euro","Final consumption expenditure of households","6,132.0",""
"2002","Lithuania","Current prices, million euro","Final consumption expenditure of households","9,897.3",""
"2002","Luxembourg","Current prices, million euro","Final consumption expenditure of households","11,308.9",""
"2002","Hungary","Current prices, million euro","Final consumption expenditure of households","40,072.5",""
"2002","Malta","Current prices, million euro","Final consumption expenditure of households","3,371.0",""
"2002","Netherlands","Current prices, million euro","Final consumption expenditure of households","243,776.0",""
"2002","Austria","Current prices, million euro","Final consumption expenditure of households","121,797.8",""
"2002","Poland","Current prices, million euro","Final consumption expenditure of households","139,341.1",""
"2002","Portugal","Current prices, million euro","Final consumption expenditure of households","90,787.0",""
"2002","Romania","Current prices, million euro","Final consumption expenditure of households","32,986.3",""
"2002","Slovenia","Current prices, million euro","Final consumption expenditure of households","14,109.9",""
"2002","Slovakia","Current prices, million euro","Final consumption expenditure of households","14,855.1",""
"2002","Finland","Current prices, million euro","Final consumption expenditure of households","68,933.0",""
"2002","Sweden","Current prices, million euro","Final consumption expenditure of households","128,837.8",""
"2002","Iceland","Current prices, million euro","Final consumption expenditure of households","5,050.2",""
"2002","Norway","Current prices, million euro","Final consumption expenditure of households","87,914.3",""
"2002","Switzerland","Current prices, million euro","Final consumption expenditure of households","181,959.5",""
"2002","United Kingdom","Current prices, million euro","Final consumption expenditure of households","1,193,847.3",""
"2002","Montenegro","Current prices, million euro","Final consumption expenditure of households",":",""
"2002","North Macedonia","Current prices, million euro","Final consumption expenditure of households","3,246.3",""
"2002","Serbia","Current prices, million euro","Final consumption expenditure of households","13,168.6",""
"2002","Turkey","Current prices, million euro","Final consumption expenditure of households",":",""
"2002","Bosnia and Herzegovina","Current prices, million euro","Final consumption expenditure of households","7,223.6",""
"2002","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, million euro","Final consumption expenditure of households",":",""
"2003","Belgium","Current prices, million euro","Final consumption expenditure of households","139,126.7",""
"2003","Bulgaria","Current prices, million euro","Final consumption expenditure of households","13,285.6",""
"2003","Czechia","Current prices, million euro","Final consumption expenditure of households","45,229.7",""
"2003","Denmark","Current prices, million euro","Final consumption expenditure of households","88,877.8",""
"2003","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Final consumption expenditure of households","1,186,204.0",""
"2003","Estonia","Current prices, million euro","Final consumption expenditure of households","5,043.4",""
"2003","Ireland","Current prices, million euro","Final consumption expenditure of households","63,042.2",""
"2003","Greece","Current prices, million euro","Final consumption expenditure of households","120,139.4",""
"2003","Spain","Current prices, million euro","Final consumption expenditure of households","481,548.0",""
"2003","France","Current prices, million euro","Final consumption expenditure of households","867,304.0",""
"2003","Croatia","Current prices, million euro","Final consumption expenditure of households","22,736.4",""
"2003","Italy","Current prices, million euro","Final consumption expenditure of households","835,347.0",""
"2003","Cyprus","Current prices, million euro","Final consumption expenditure of households","9,231.0",""
"2003","Latvia","Current prices, million euro","Final consumption expenditure of households","6,308.5",""
"2003","Lithuania","Current prices, million euro","Final consumption expenditure of households","10,827.1",""
"2003","Luxembourg","Current prices, million euro","Final consumption expenditure of households","11,758.0",""
"2003","Hungary","Current prices, million euro","Final consumption expenditure of households","42,811.4",""
"2003","Malta","Current prices, million euro","Final consumption expenditure of households","3,419.8",""
"2003","Netherlands","Current prices, million euro","Final consumption expenditure of households","249,121.0",""
"2003","Austria","Current prices, million euro","Final consumption expenditure of households","125,613.4",""
"2003","Poland","Current prices, million euro","Final consumption expenditure of households","124,388.0",""
"2003","Portugal","Current prices, million euro","Final consumption expenditure of households","93,507.6",""
"2003","Romania","Current prices, million euro","Final consumption expenditure of households","34,553.4",""
"2003","Slovenia","Current prices, million euro","Final consumption expenditure of households","14,831.9",""
"2003","Slovakia","Current prices, million euro","Final consumption expenditure of households","16,347.1",""
"2003","Finland","Current prices, million euro","Final consumption expenditure of households","72,309.0",""
"2003","Sweden","Current prices, million euro","Final consumption expenditure of households","133,858.1",""
"2003","Iceland","Current prices, million euro","Final consumption expenditure of households","5,330.1",""
"2003","Norway","Current prices, million euro","Final consumption expenditure of households","86,944.8",""
"2003","Switzerland","Current prices, million euro","Final consumption expenditure of households","177,856.5",""
"2003","United Kingdom","Current prices, million euro","Final consumption expenditure of households","1,132,601.6",""
"2003","Montenegro","Current prices, million euro","Final consumption expenditure of households",":",""
"2003","North Macedonia","Current prices, million euro","Final consumption expenditure of households","3,472.9",""
"2003","Serbia","Current prices, million euro","Final consumption expenditure of households","13,882.0",""
"2003","Turkey","Current prices, million euro","Final consumption expenditure of households",":",""
"2003","Bosnia and Herzegovina","Current prices, million euro","Final consumption expenditure of households","7,623.8",""
"2003","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, million euro","Final consumption expenditure of households",":",""
"2004","Belgium","Current prices, million euro","Final consumption expenditure of households","144,369.9",""
"2004","Bulgaria","Current prices, million euro","Final consumption expenditure of households","15,015.2",""
"2004","Czechia","Current prices, million euro","Final consumption expenditure of households","48,072.7",""
"2004","Denmark","Current prices, million euro","Final consumption expenditure of households","94,126.4",""
"2004","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Final consumption expenditure of households","1,208,679.0",""
"2004","Estonia","Current prices, million euro","Final consumption expenditure of households","5,709.2",""
"2004","Ireland","Current prices, million euro","Final consumption expenditure of households","66,622.6",""
"2004","Greece","Current prices, million euro","Final consumption expenditure of households","128,744.1",""
"2004","Spain","Current prices, million euro","Final consumption expenditure of households","516,885.0",""
"2004","France","Current prices, million euro","Final consumption expenditure of households","905,997.0",""
"2004","Croatia","Current prices, million euro","Final consumption expenditure of households","24,352.1",""
"2004","Italy","Current prices, million euro","Final consumption expenditure of households","865,503.4",""
"2004","Cyprus","Current prices, million euro","Final consumption expenditure of households","9,835.4",""
"2004","Latvia","Current prices, million euro","Final consumption expenditure of households","7,064.7",""
"2004","Lithuania","Current prices, million euro","Final consumption expenditure of households","11,945.0",""
"2004","Luxembourg","Current prices, million euro","Final consumption expenditure of households","12,415.5",""
"2004","Hungary","Current prices, million euro","Final consumption expenditure of households","46,131.5",""
"2004","Malta","Current prices, million euro","Final consumption expenditure of households","3,537.4",""
"2004","Netherlands","Current prices, million euro","Final consumption expenditure of households","254,905.0",""
"2004","Austria","Current prices, million euro","Final consumption expenditure of households","130,855.5",""
"2004","Poland","Current prices, million euro","Final consumption expenditure of households","131,931.8",""
"2004","Portugal","Current prices, million euro","Final consumption expenditure of households","98,230.7",""
"2004","Romania","Current prices, million euro","Final consumption expenditure of households","41,787.7",""
"2004","Slovenia","Current prices, million euro","Final consumption expenditure of households","15,385.8",""
"2004","Slovakia","Current prices, million euro","Final consumption expenditure of households","19,259.0",""
"2004","Finland","Current prices, million euro","Final consumption expenditure of households","75,041.0",""
"2004","Sweden","Current prices, million euro","Final consumption expenditure of households","138,312.4",""
"2004","Iceland","Current prices, million euro","Final consumption expenditure of households","5,828.1",""
"2004","Norway","Current prices, million euro","Final consumption expenditure of households","88,083.3",""
"2004","Switzerland","Current prices, million euro","Final consumption expenditure of households","178,991.1",""
"2004","United Kingdom","Current prices, million euro","Final consumption expenditure of households","1,210,868.5",""
"2004","Montenegro","Current prices, million euro","Final consumption expenditure of households",":",""
"2004","North Macedonia","Current prices, million euro","Final consumption expenditure of households","3,681.2",""
"2004","Serbia","Current prices, million euro","Final consumption expenditure of households","15,482.0",""
"2004","Turkey","Current prices, million euro","Final consumption expenditure of households",":",""
"2004","Bosnia and Herzegovina","Current prices, million euro","Final consumption expenditure of households","7,947.8",""
"2004","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, million euro","Final consumption expenditure of households",":",""
"2005","Belgium","Current prices, million euro","Final consumption expenditure of households","150,374.4",""
"2005","Bulgaria","Current prices, million euro","Final consumption expenditure of households","17,342.4",""
"2005","Czechia","Current prices, million euro","Final consumption expenditure of households","54,542.9",""
"2005","Denmark","Current prices, million euro","Final consumption expenditure of households","99,326.5",""
"2005","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Final consumption expenditure of households","1,233,957.0",""
"2005","Estonia","Current prices, million euro","Final consumption expenditure of households","6,485.9",""
"2005","Ireland","Current prices, million euro","Final consumption expenditure of households","72,220.1",""
"2005","Greece","Current prices, million euro","Final consumption expenditure of households","136,840.7",""
"2005","Spain","Current prices, million euro","Final consumption expenditure of households","554,215.0",""
"2005","France","Current prices, million euro","Final consumption expenditure of households","943,981.0",""
"2005","Croatia","Current prices, million euro","Final consumption expenditure of households","26,775.7",""
"2005","Italy","Current prices, million euro","Final consumption expenditure of households","893,027.6",""
"2005","Cyprus","Current prices, million euro","Final consumption expenditure of households","10,524.7",""
"2005","Latvia","Current prices, million euro","Final consumption expenditure of households","8,082.6",""
"2005","Lithuania","Current prices, million euro","Final consumption expenditure of households","13,649.0",""
"2005","Luxembourg","Current prices, million euro","Final consumption expenditure of households","12,690.3",""
"2005","Hungary","Current prices, million euro","Final consumption expenditure of households","50,058.2",""
"2005","Malta","Current prices, million euro","Final consumption expenditure of households","3,749.1",""
"2005","Netherlands","Current prices, million euro","Final consumption expenditure of households","261,963.0",""
"2005","Austria","Current prices, million euro","Final consumption expenditure of households","137,194.0",""
"2005","Poland","Current prices, million euro","Final consumption expenditure of households","154,030.3",""
"2005","Portugal","Current prices, million euro","Final consumption expenditure of households","103,289.0",""
"2005","Romania","Current prices, million euro","Final consumption expenditure of households","55,495.0",""
"2005","Slovenia","Current prices, million euro","Final consumption expenditure of households","16,236.0",""
"2005","Slovakia","Current prices, million euro","Final consumption expenditure of households","21,463.9",""
"2005","Finland","Current prices, million euro","Final consumption expenditure of households","78,208.0",""
"2005","Sweden","Current prices, million euro","Final consumption expenditure of households","141,887.5",""
"2005","Iceland","Current prices, million euro","Final consumption expenditure of households","7,261.4",""
"2005","Norway","Current prices, million euro","Final consumption expenditure of households","96,697.8",""
"2005","Switzerland","Current prices, million euro","Final consumption expenditure of households","182,629.4",""
"2005","United Kingdom","Current prices, million euro","Final consumption expenditure of households","1,258,078.4",""
"2005","Montenegro","Current prices, million euro","Final consumption expenditure of households",":",""
"2005","North Macedonia","Current prices, million euro","Final consumption expenditure of households","4,047.1",""
"2005","Serbia","Current prices, million euro","Final consumption expenditure of households","16,407.6",""
"2005","Turkey","Current prices, million euro","Final consumption expenditure of households",":",""
"2005","Bosnia and Herzegovina","Current prices, million euro","Final consumption expenditure of households","8,645.3",""
"2005","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, million euro","Final consumption expenditure of households",":",""
"2006","Belgium","Current prices, million euro","Final consumption expenditure of households","157,353.0",""
"2006","Bulgaria","Current prices, million euro","Final consumption expenditure of households","19,139.2",""
"2006","Czechia","Current prices, million euro","Final consumption expenditure of households","60,908.9",""
"2006","Denmark","Current prices, million euro","Final consumption expenditure of households","104,437.1",""
"2006","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Final consumption expenditure of households","1,268,456.0",""
"2006","Estonia","Current prices, million euro","Final consumption expenditure of households","7,591.1",""
"2006","Ireland","Current prices, million euro","Final consumption expenditure of households","78,637.9",""
"2006","Greece","Current prices, million euro","Final consumption expenditure of households","144,975.4",""
"2006","Spain","Current prices, million euro","Final consumption expenditure of households","596,320.0",""
"2006","France","Current prices, million euro","Final consumption expenditure of households","986,904.0",""
"2006","Croatia","Current prices, million euro","Final consumption expenditure of households","28,779.3",""
"2006","Italy","Current prices, million euro","Final consumption expenditure of households","929,831.3",""
"2006","Cyprus","Current prices, million euro","Final consumption expenditure of households","11,262.8",""
"2006","Latvia","Current prices, million euro","Final consumption expenditure of households","10,627.0",""
"2006","Lithuania","Current prices, million euro","Final consumption expenditure of households","15,476.2",""
"2006","Luxembourg","Current prices, million euro","Final consumption expenditure of households","13,189.1",""
"2006","Hungary","Current prices, million euro","Final consumption expenditure of households","49,834.7",""
"2006","Malta","Current prices, million euro","Final consumption expenditure of households","3,872.8",""
"2006","Netherlands","Current prices, million euro","Final consumption expenditure of households","268,587.0",""
"2006","Austria","Current prices, million euro","Final consumption expenditure of households","142,683.3",""
"2006","Poland","Current prices, million euro","Final consumption expenditure of households","168,320.0",""
"2006","Portugal","Current prices, million euro","Final consumption expenditure of households","108,713.0",""
"2006","Romania","Current prices, million euro","Final consumption expenditure of households","65,694.7",""
"2006","Slovenia","Current prices, million euro","Final consumption expenditure of households","16,840.2",""
"2006","Slovakia","Current prices, million euro","Final consumption expenditure of households","25,005.1",""
"2006","Finland","Current prices, million euro","Final consumption expenditure of households","82,412.0",""
"2006","Sweden","Current prices, million euro","Final consumption expenditure of households","148,884.4",""
"2006","Iceland","Current prices, million euro","Final consumption expenditure of households","7,164.7",""
"2006","Norway","Current prices, million euro","Final consumption expenditure of households","102,563.5",""
"2006","Switzerland","Current prices, million euro","Final consumption expenditure of households","185,482.4",""
"2006","United Kingdom","Current prices, million euro","Final consumption expenditure of households","1,316,832.2",""
"2006","Montenegro","Current prices, million euro","Final consumption expenditure of households","2,287.0",""
"2006","North Macedonia","Current prices, million euro","Final consumption expenditure of households","4,324.9",""
"2006","Serbia","Current prices, million euro","Final consumption expenditure of households","19,396.8",""
"2006","Turkey","Current prices, million euro","Final consumption expenditure of households",":",""
"2006","Bosnia and Herzegovina","Current prices, million euro","Final consumption expenditure of households","9,358.2",""
"2006","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, million euro","Final consumption expenditure of households",":",""
"2007","Belgium","Current prices, million euro","Final consumption expenditure of households","164,823.4",""
"2007","Bulgaria","Current prices, million euro","Final consumption expenditure of households","23,411.1",""
"2007","Czechia","Current prices, million euro","Final consumption expenditure of households","66,388.6",""
"2007","Denmark","Current prices, million euro","Final consumption expenditure of households","107,969.6",""
"2007","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Final consumption expenditure of households","1,288,114.0",""
"2007","Estonia","Current prices, million euro","Final consumption expenditure of households","8,741.9",""
"2007","Ireland","Current prices, million euro","Final consumption expenditure of households","85,752.2",""
"2007","Greece","Current prices, million euro","Final consumption expenditure of households","155,912.2",""
"2007","Spain","Current prices, million euro","Final consumption expenditure of households","635,785.0",""
"2007","France","Current prices, million euro","Final consumption expenditure of households","1,033,830.0",""
"2007","Croatia","Current prices, million euro","Final consumption expenditure of households","31,153.6",""
"2007","Italy","Current prices, million euro","Final consumption expenditure of households","961,082.8",""
"2007","Cyprus","Current prices, million euro","Final consumption expenditure of households","12,352.2",""
"2007","Latvia","Current prices, million euro","Final consumption expenditure of households","13,182.4",""
"2007","Lithuania","Current prices, million euro","Final consumption expenditure of households","18,167.8",""
"2007","Luxembourg","Current prices, million euro","Final consumption expenditure of households","13,735.5",""
"2007","Hungary","Current prices, million euro","Final consumption expenditure of households","55,924.3",""
"2007","Malta","Current prices, million euro","Final consumption expenditure of households","4,066.9",""
"2007","Netherlands","Current prices, million euro","Final consumption expenditure of households","279,290.0",""
"2007","Austria","Current prices, million euro","Final consumption expenditure of households","147,969.5",""
"2007","Poland","Current prices, million euro","Final consumption expenditure of households","189,036.4",""
"2007","Portugal","Current prices, million euro","Final consumption expenditure of households","115,412.2",""
"2007","Romania","Current prices, million euro","Final consumption expenditure of households","84,277.1",""
"2007","Slovenia","Current prices, million euro","Final consumption expenditure of households","18,660.6",""
"2007","Slovakia","Current prices, million euro","Final consumption expenditure of households","30,470.1",""
"2007","Finland","Current prices, million euro","Final consumption expenditure of households","86,772.0",""
"2007","Sweden","Current prices, million euro","Final consumption expenditure of households","157,096.4",""
"2007","Iceland","Current prices, million euro","Final consumption expenditure of households","7,995.3",""
"2007","Norway","Current prices, million euro","Final consumption expenditure of households","110,118.1",""
"2007","Switzerland","Current prices, million euro","Final consumption expenditure of households","184,597.0",""
"2007","United Kingdom","Current prices, million euro","Final consumption expenditure of households","1,374,138.6",""
"2007","Montenegro","Current prices, million euro","Final consumption expenditure of households","2,801.8",""
"2007","North Macedonia","Current prices, million euro","Final consumption expenditure of households","4,733.9",""
"2007","Serbia","Current prices, million euro","Final consumption expenditure of households","23,296.0",""
"2007","Turkey","Current prices, million euro","Final consumption expenditure of households",":",""
"2007","Bosnia and Herzegovina","Current prices, million euro","Final consumption expenditure of households","10,217.6",""
"2007","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, million euro","Final consumption expenditure of households",":",""
"2008","Belgium","Current prices, million euro","Final consumption expenditure of households","172,143.6",""
"2008","Bulgaria","Current prices, million euro","Final consumption expenditure of households","25,617.8",""
"2008","Czechia","Current prices, million euro","Final consumption expenditure of households","78,913.8",""
"2008","Denmark","Current prices, million euro","Final consumption expenditure of households","111,205.7",""
"2008","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Final consumption expenditure of households","1,315,900.0",""
"2008","Estonia","Current prices, million euro","Final consumption expenditure of households","8,996.6",""
"2008","Ireland","Current prices, million euro","Final consumption expenditure of households","86,454.7",""
"2008","Greece","Current prices, million euro","Final consumption expenditure of households","168,064.9",""
"2008","Spain","Current prices, million euro","Final consumption expenditure of households","653,626.0",""
"2008","France","Current prices, million euro","Final consumption expenditure of households","1,067,029.0",""
"2008","Croatia","Current prices, million euro","Final consumption expenditure of households","33,924.2",""
"2008","Italy","Current prices, million euro","Final consumption expenditure of households","979,822.6",""
"2008","Cyprus","Current prices, million euro","Final consumption expenditure of households","13,489.6",""
"2008","Latvia","Current prices, million euro","Final consumption expenditure of households","13,717.0",""
"2008","Lithuania","Current prices, million euro","Final consumption expenditure of households","20,761.9",""
"2008","Luxembourg","Current prices, million euro","Final consumption expenditure of households","14,479.9",""
"2008","Hungary","Current prices, million euro","Final consumption expenditure of households","58,794.8",""
"2008","Malta","Current prices, million euro","Final consumption expenditure of households","4,181.9",""
"2008","Netherlands","Current prices, million euro","Final consumption expenditure of households","286,966.0",""
"2008","Austria","Current prices, million euro","Final consumption expenditure of households","153,183.4",""
"2008","Poland","Current prices, million euro","Final consumption expenditure of households","225,019.1",""
"2008","Portugal","Current prices, million euro","Final consumption expenditure of households","119,967.9",""
"2008","Romania","Current prices, million euro","Final consumption expenditure of households","91,626.2",""
"2008","Slovenia","Current prices, million euro","Final consumption expenditure of households","20,238.3",""
"2008","Slovakia","Current prices, million euro","Final consumption expenditure of households","36,659.8",""
"2008","Finland","Current prices, million euro","Final consumption expenditure of households","91,520.0",""
"2008","Sweden","Current prices, million euro","Final consumption expenditure of households","155,943.7",""
"2008","Iceland","Current prices, million euro","Final consumption expenditure of households","5,271.9",""
"2008","Norway","Current prices, million euro","Final consumption expenditure of households","112,488.4",""
"2008","Switzerland","Current prices, million euro","Final consumption expenditure of households","198,218.2",""
"2008","United Kingdom","Current prices, million euro","Final consumption expenditure of households","1,214,177.2",""
"2008","Montenegro","Current prices, million euro","Final consumption expenditure of households","3,301.3",""
"2008","North Macedonia","Current prices, million euro","Final consumption expenditure of households","5,339.9",""
"2008","Serbia","Current prices, million euro","Final consumption expenditure of households","26,283.1",""
"2008","Turkey","Current prices, million euro","Final consumption expenditure of households",":",""
"2008","Bosnia and Herzegovina","Current prices, million euro","Final consumption expenditure of households","11,415.2",""
"2008","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, million euro","Final consumption expenditure of households",":","c"
"2009","Belgium","Current prices, million euro","Final consumption expenditure of households","171,408.9",""
"2009","Bulgaria","Current prices, million euro","Final consumption expenditure of households","24,868.3",""
"2009","Czechia","Current prices, million euro","Final consumption expenditure of households","75,087.9",""
"2009","Denmark","Current prices, million euro","Final consumption expenditure of households","108,119.7",""
"2009","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Final consumption expenditure of households","1,316,052.0",""
"2009","Estonia","Current prices, million euro","Final consumption expenditure of households","7,753.0",""
"2009","Ireland","Current prices, million euro","Final consumption expenditure of households","76,384.9",""
"2009","Greece","Current prices, million euro","Final consumption expenditure of households","165,365.0",""
"2009","Spain","Current prices, million euro","Final consumption expenditure of households","623,503.0",""
"2009","France","Current prices, million euro","Final consumption expenditure of households","1,050,485.0",""
"2009","Croatia","Current prices, million euro","Final consumption expenditure of households","31,075.3",""
"2009","Italy","Current prices, million euro","Final consumption expenditure of households","957,430.7",""
"2009","Cyprus","Current prices, million euro","Final consumption expenditure of households","12,493.9",""
"2009","Latvia","Current prices, million euro","Final consumption expenditure of households","11,162.5",""
"2009","Lithuania","Current prices, million euro","Final consumption expenditure of households","17,987.1",""
"2009","Luxembourg","Current prices, million euro","Final consumption expenditure of households","14,490.9",""
"2009","Hungary","Current prices, million euro","Final consumption expenditure of households","51,659.0",""
"2009","Malta","Current prices, million euro","Final consumption expenditure of households","4,204.4",""
"2009","Netherlands","Current prices, million euro","Final consumption expenditure of households","276,543.0",""
"2009","Austria","Current prices, million euro","Final consumption expenditure of households","153,680.7",""
"2009","Poland","Current prices, million euro","Final consumption expenditure of households","193,798.5",""
"2009","Portugal","Current prices, million euro","Final consumption expenditure of households","114,687.8",""
"2009","Romania","Current prices, million euro","Final consumption expenditure of households","77,320.8",""
